SegmentId,RoadNo
HSJ0WM7,R300
I25JSGF,N2
I2POO7A,M3
I6G60AH,N1
I8VWS8W,N2
ICNJ23X,N2
IEBUIXM,Unclassified
IH75D0V,N1
IK67XHB,R300
IKN5JDM,N1
IMJY7S7,N2
IQEYE3S,R300
IQS1GLY,N7
IUTMY1U,N2
IV5F6YM,N1
IXSLKS7,R300
IY03OM4,M5
J0SM52K,Unclassified
J151TEQ,N1
J2L78G3,N1
J6A19TW,N1
J7MH0RF,N1
J8FAZRB,N1
JCFWX6E,N1
JJGXEJ4,N7
JKTV1QW,M5
JNEJVKK,M5
JRZWRIW,N7
JT4HGZ2,N2
JTY12HG,N1
JUJL6W1,N2
JW0WKQ9,N2
JY8VL6C,N2
JZGFZ7Z,R300
K27GB0B,M3
K2E55RT,N7
K3N8ADC,N2
K48Y5T9,N2
KDFE19M,N1
KFYGRO8,N1
KL3QK6O,N2
KL4UM68,R300
KNG6Z86,N2
KTXRGNX,N2
KVOVDD8,N1
KVQ5DMG,M3
L2X64FB,N2
L4CWZBU,N1
L6EU3EB,N1
LAZLJ7E,N1
LC8FONX,N1
LFUJ30W,R300
LG58LKX,N1
LK5JIX6,N7
LLGN7DY,N2
LNO3W8J,N1
LO1OZJ0,M3
LO3764F,Unclassified
LRCHHQJ,N1
LUOD99L,N1
LUOEP7G,R300
LV4XGT5,M5
LXZFSP3,N2
M223F8G,M4
M2KOUEK,N1
M3INBBC,N2
M43AKN2,R300
M4U0X5G,N2
MA3ZWVH,M4
MC84I0T,N2
MEOYV3B,N2
MFUUB92,N1
MJ9YER2,N1
MM6HDEQ,R300
MORJH71,R300
MP664QK,N2
MPGNI7M,N2
MQE3R88,N1
MRHTO2C,N2
MRQ81XJ,N2
MTPU2BE,Unclassified
MX8CVMX,N2
N1MTRIJ,N2
N5NO82G,N1
N90YL69,N1
N9A4I1K,N2
NCMIGB7,R300
NFEBWR6,N2
NFUEAN5,N1
NG4X2MD,R300
NL4FSPV,N1
NQSL7FX,M5
NRWU3QW,R300
NZUF7M4,N2
O271SQN,R300
OBXISZN,R300
OCFS8ZD,N2
OCR113O,Unclassified
OD60AK9,R300
OFAXGKF,M4
OHQYM1R,N2
ON7Z6I0,N2
OVJNYB2,N1
OWCF2MH,R300
P0XX6RS,R300
P36URXV,N2
P5N4Z0R,N1
P66KAPS,N1
P7RBBFB,R300
P9PBFAJ,N1
PCIQQ7E,N2
PD4MTSH,R300
PDDTLDP,N1
PH8DIYU,R300
PLZ8PGL,N1
PRRLPFL,M4
PRUSMVO,N1
PV3AVCT,N1
PXI00H9,N2
Q03FQ74,N2
Q0VL8BD,R300
Q17B8NG,N1
Q2HCM1O,N1
Q2V2552,M5
Q54XDYI,N1
Q75ZW1Q,N1
Q7OLWGV,N1
Q9S9V3Q,N1
QBSA1OR,N1
QDRC5UW,R300
QFRMXC4,M3
QM4QKAZ,R300
QORS7OP,N2
QTT8QNT,N1
QUHOO8R,N1
QVZKPQD,M17
QXDLKB7,N2
R6JUSZT,N2
RB56HQI,N1
REN8XE5,N2
RO046L9,N1
RWSJ6AY,M3
RY0TRQ8,R300
RYJYAPI,N2
RZK0UM0,N1
S0B3CGQ,N1
S200A1J,N2
S2QPOTD,Unclassified
S4MOE5G,N1
S55R1TY,N1
S7S8GMD,N1
S9PC5LR,N1
SE831U7,R300
SG89YSS,M5
SJ29DQW,N2
SJUWTEK,N2
SNTDQP9,N1
SPPGKO2,N7
SQ0TZ3H,N1
SQ3W7J8,N2
SSS7BK6,N2
SUP29NG,N2
SY568EU,N1
SZJISW0,N2
T14JPJU,N1
T182CUC,R300
T1DB85Y,N1
T64WM0N,N1
T7XSLG6,N1
TBPN1BF,N1
TBYQ54D,N1
TC7A716,N2
TD8YB0R,R300
TK9DSXW,N1
TKB7K8T,N2
TONSERE,N2
TRTR582,N1
U3KP57C,N2
UABQ9EK,Unclassified
UAXX1ZE,N1
UB5HE92,N1
UCJGSIW,N1
UEP9HM4,N2
UHFPI9X,N1
ULMQMUT,N1
UUZT4OE,N2
UXERJVK,N1
UY59I9M,N2
V19MLWF,N1
V1BNX3D,N1
V4ITGH1,N2
V59S0GZ,N2
V5A8ZZZ,R300
V5PX6ZH,N1
VBUCV9N,N2
VHGABXK,N1
VI1GKEJ,N1
VMCY8BI,N1
VO6FQAZ,N2
VODEAWO,N7
VPNLAYY,N2
VTJ1O97,N1
VU4GFO5,R300
VUYACXV,N2
VVJ158O,N2
VWOSZKP,N2
VXS8NZ1,M3
W0EUG1C,N2
W70WUF7,M3
W8VXVR4,N1
WAC029P,N1
WE8VOFH,N2
WELMR24,N2
WG6X4Y0,R300
WHW1BZK,R300
WJBR1L2,R300
WJXP54Z,N1
WL17NEO,N1
WLFBY9T,N1
WO118LR,N7
WOSAB94,N2
WPD6G14,N1
WRJK3P3,N2
WS0J1CU,N2
WTTU2KQ,N7
WUGV4DU,N1
WVXBO5X,N2
WWFC10X,N2
X17ILML,N2
X4UA382,N1
X9J910I,N2
XB2TN3V,N2
XBYNXP7,N1
XFMDDJ7,N1
XHKKOUG,N2
XINDPM1,N2
XKFABCI,N1
XNUEEZN,N1
XO4JYNU,N1
XOCWI97,N2
XPEXW89,N2
XS7M5WZ,M17
XTC73NQ,N2
XTTWKZM,R300
XTZ54JY,N1
XW393UI,N2
XYFQJ1Q,N1
XZZ3D4U,N7
Y4B7JOT,N1
Y5Z7TXB,N2
YAPO4I4,N7
YEDB2ES,N2
YEWTYV9,N2
YF1XDKK,N1
YGKOTWP,N1
YGRV6SD,N2
YLQRLAD,Unclassified
YM2J7ZE,N2
YMQX3CJ,N2
YNCIDMW,N2
YQCBO2Y,R300
YQRHLO2,N1
YSM1T15,N7
YU41XSB,N1
YVR8GT6,N2
Z13SS1G,R300
Z2I5UQC,N1
Z2OSI9E,N1
Z4HC8K2,N2
Z4VBV3L,N1
ZAVM3PJ,N2
ZCX0S5O,N1
ZFMKTPH,N1
ZL4WLO2,N1
ZP9STNM,N2
ZQJNJPJ,N1
ZT6MOAL,N7
